system:index,classification,median,plotid,.geo
0,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39915989265937,38.89866364204672]}"
1,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39915989265937,38.89874054530122]}"
2,Trees,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3990610779781,38.898048413012276]}"
3,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3990610779781,38.89812531693309]}"
4,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3990610779781,38.89820222077057]}"
5,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3990610779781,38.89827912452481]}"
6,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3990610779781,38.89835602819576]}"
7,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3990610779781,38.89843293178342]}"
8,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3990610779781,38.8985098352878]}"
9,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3990610779781,38.89858673870891]}"
10,Shrubland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3990610779781,38.89866364204672]}"
11,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3990610779781,38.89874054530122]}"
12,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39896226329684,38.89804841301228]}"
13,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39896226329684,38.89812531693309]}"
14,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39896226329684,38.89820222077057]}"
15,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39896226329684,38.89827912452481]}"
16,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39896226329684,38.89835602819576]}"
17,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39896226329684,38.89843293178342]}"
18,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39896226329684,38.8985098352878]}"
19,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39896226329684,38.8985867387089]}"
20,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39896226329684,38.89866364204672]}"
21,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39896226329684,38.89874054530122]}"
22,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39886344861557,38.898048413012276]}"
23,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39886344861557,38.89820222077057]}"
24,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39886344861557,38.89827912452481]}"
25,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39886344861557,38.89835602819576]}"
26,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39886344861557,38.89843293178342]}"
27,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39886344861557,38.8985098352878]}"
28,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39886344861557,38.8985867387089]}"
29,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39886344861557,38.89866364204672]}"
30,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.39886344861557,38.89874054530122]}"
31,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3987646339343,38.898048413012276]}"
32,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3987646339343,38.89812531693309]}"
33,Shrubland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3987646339343,38.898202220770564]}"
34,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3987646339343,38.89827912452481]}"
35,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3987646339343,38.89835602819576]}"
36,Built-up,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3987646339343,38.898509835287804]}"
37,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3987646339343,38.8985867387089]}"
38,Grassland,10.0,9736,"{""type"":""Point"",""coordinates"":[-77.3987646339343,38.89866364204672]}"
39,Grassland,30.0,9736,"{""type"":""Point"",""coordinates"":[-77.3987646339343,38.89874054530122]}"
