system:index,classification,median,plotid,.geo
0,Built-up,50.0,2414,"{""type"":""Point"",""coordinates"":[-122.00894622328542,37.3331233101202]}"
1,Built-up,50.0,2414,"{""type"":""Point"",""coordinates"":[-122.00894622328542,37.33320187990711]}"
2,Built-up,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00894622328542,37.33328044961182]}"
3,Built-up,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00894622328542,37.333359019234344]}"
4,Built-up,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00894622328542,37.3334375887747]}"
5,Trees,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00894622328542,37.33351615823288]}"
6,Barren / Sparse Vegetation,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00894622328542,37.3335947276089]}"
7,Built-up,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00894622328542,37.3336732969027]}"
8,Barren / Sparse Vegetation,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00894622328542,37.33375186611434]}"
9,Built-up,50.0,2414,"{""type"":""Point"",""coordinates"":[-122.00884740860414,37.33304474025115]}"
10,Built-up,50.0,2414,"{""type"":""Point"",""coordinates"":[-122.00884740860414,37.3331233101202]}"
11,Built-up,50.0,2414,"{""type"":""Point"",""coordinates"":[-122.00884740860414,37.33320187990711]}"
12,Built-up,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00884740860414,37.33328044961182]}"
13,Built-up,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00884740860417,37.333359019234344]}"
14,Built-up,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00884740860414,37.3334375887747]}"
15,Trees,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00884740860414,37.33351615823288]}"
16,Barren / Sparse Vegetation,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00884740860414,37.3335947276089]}"
17,Trees,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00884740860414,37.33367329690271]}"
18,Barren / Sparse Vegetation,30.0,2414,"{""type"":""Point"",""coordinates"":[-122.00884740860414,37.33375186611434]}"
19,Built-up,50.0,2414,"{""type"":""Point"",""coordinates"":[-122.00874859392287,37.33304474025114]}"
20,Built-up,50.0,2414,"{""type"":""Point"",""coordinates"":[-122.00874859392287,37.3331233101202]}"
21,Built-up,50.0,2414,"{""type"":""Point"",""coordinates"":[-122.00874859392287,37.33320187990711]}"
