system:index,classification,median,plotid,.geo
0,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82375382475672,30.450650482247255]}"
1,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82375382475672,30.450735666986237]}"
2,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82375382475672,30.450820851650786]}"
3,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82365501007547,30.450054186989473]}"
4,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82365501007547,30.450139372249662]}"
5,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82365501007547,30.450224557435398]}"
6,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82365501007547,30.450309742546647]}"
7,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82365501007547,30.450394927583503]}"
8,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82365501007547,30.450480112545858]}"
9,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82365501007547,30.450565297433783]}"
10,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82365501007547,30.450650482247255]}"
11,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82365501007547,30.45073566698624]}"
12,Trees,10.0,4801,"{""type"":""Point"",""coordinates"":[-97.82365501007547,30.450820851650793]}"
13,Trees,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.8193288717504,30.450054186989473]}"
14,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.8193288717504,30.450139372249662]}"
15,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.8193288717504,30.450224557435398]}"
16,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.8193288717504,30.450309742546644]}"
17,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.8193288717504,30.450394927583496]}"
18,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81932887175041,30.450480112545858]}"
19,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.8193288717504,30.45056529743378]}"
20,Built-up,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.8193288717504,30.450650482247255]}"
21,Built-up,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.8193288717504,30.450735666986237]}"
22,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.8193288717504,30.450820851650786]}"
23,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81923005706912,30.450054186989473]}"
24,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81923005706913,30.450139372249662]}"
25,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81923005706913,30.450224557435398]}"
26,Grassland,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81923005706912,30.450309742546647]}"
27,Trees,60.0,4802,"{""type"":""Point"",""coordinates"":[-97.81923005706913,30.450394927583506]}"
28,Built-up,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81923005706912,30.450480112545858]}"
29,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81923005706913,30.450565297433783]}"
30,Built-up,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81923005706912,30.450650482247255]}"
31,Built-up,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81923005706912,30.450735666986237]}"
32,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81923005706912,30.450820851650793]}"
33,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81913124238784,30.450054186989473]}"
34,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81913124238784,30.450139372249662]}"
35,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81913124238785,30.450224557435398]}"
36,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81913124238785,30.450309742546647]}"
37,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81913124238784,30.450565297433783]}"
38,Built-up,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81913124238784,30.450650482247255]}"
39,Grassland,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81913124238784,30.450735666986237]}"
40,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81913124238784,30.450820851650793]}"
41,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81903242770662,30.450054186989473]}"
42,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81903242770662,30.450139372249662]}"
43,Built-up,60.0,4802,"{""type"":""Point"",""coordinates"":[-97.81903242770662,30.450224557435398]}"
44,Trees,60.0,4802,"{""type"":""Point"",""coordinates"":[-97.81903242770662,30.450309742546647]}"
45,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81903242770662,30.450480112545858]}"
46,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81903242770662,30.450565297433783]}"
47,Built-up,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81903242770662,30.450650482247255]}"
48,Trees,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81903242770662,30.450735666986237]}"
49,Built-up,10.0,4802,"{""type"":""Point"",""coordinates"":[-97.81903242770662,30.450820851650793]}"
50,Grassland,50.0,4802,"{""type"":""Point"",""coordinates"":[-97.81893361302534,30.450054186989473]}"
