system:index,classification,median,plotid,.geo
0,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45203924885048,29.03677607718074]}"
1,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45203924885048,29.036862471645296]}"
2,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45194043416922,29.036084918860645]}"
3,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45194043416922,29.036171313903782]}"
4,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45194043416922,29.03625770887457]}"
5,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45194043416922,29.036344103773075]}"
6,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45194043416922,29.03643049859926]}"
7,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45194043416922,29.036516893353095]}"
8,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45194043416922,29.03660328803463]}"
9,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45194043416922,29.036689682643825]}"
10,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45194043416922,29.03677607718074]}"
11,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45194043416922,29.036862471645303]}"
12,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45184161948796,29.036084918860645]}"
13,Built-up,60.0,3223,"{""type"":""Point"",""coordinates"":[-95.45184161948796,29.036171313903775]}"
14,Grassland,60.0,3223,"{""type"":""Point"",""coordinates"":[-95.45184161948796,29.03625770887457]}"
15,Grassland,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45184161948796,29.036344103773075]}"
16,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45184161948796,29.03643049859926]}"
17,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45184161948796,29.036516893353095]}"
18,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45184161948796,29.03660328803463]}"
19,Grassland,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45184161948796,29.036689682643818]}"
20,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45184161948796,29.03677607718074]}"
21,Built-up,50.0,3223,"{""type"":""Point"",""coordinates"":[-95.45184161948796,29.036862471645296]}"
22,Grassland,30.0,3224,"{""type"":""Point"",""coordinates"":[-95.44758780865509,29.036084918860645]}"
23,Built-up,50.0,3224,"{""type"":""Point"",""coordinates"":[-95.44758780865509,29.036171313903782]}"
24,Grassland,50.0,3224,"{""type"":""Point"",""coordinates"":[-95.44758780865509,29.036344103773075]}"
25,Built-up,50.0,3224,"{""type"":""Point"",""coordinates"":[-95.44758780865509,29.03643049859926]}"
26,Grassland,40.0,3224,"{""type"":""Point"",""coordinates"":[-95.44758780865509,29.03660328803463]}"
27,Built-up,40.0,3224,"{""type"":""Point"",""coordinates"":[-95.44758780865509,29.036689682643825]}"
28,Built-up,60.0,3224,"{""type"":""Point"",""coordinates"":[-95.44758780865509,29.03677607718074]}"
29,Built-up,50.0,3224,"{""type"":""Point"",""coordinates"":[-95.44758780865509,29.036862471645296]}"
30,Built-up,50.0,3224,"{""type"":""Point"",""coordinates"":[-95.44748899397382,29.036084918860645]}"
31,Built-up,50.0,3224,"{""type"":""Point"",""coordinates"":[-95.44748899397382,29.036171313903782]}"
32,Built-up,50.0,3224,"{""type"":""Point"",""coordinates"":[-95.44748899397382,29.03625770887457]}"
33,Built-up,50.0,3224,"{""type"":""Point"",""coordinates"":[-95.44748899397382,29.03643049859926]}"
34,Grassland,30.0,3224,"{""type"":""Point"",""coordinates"":[-95.44748899397382,29.036516893353095]}"
35,Grassland,30.0,3224,"{""type"":""Point"",""coordinates"":[-95.44748899397382,29.03660328803463]}"
36,Grassland,30.0,3224,"{""type"":""Point"",""coordinates"":[-95.44748899397382,29.036689682643825]}"
