system:index,classification,median,plotid,.geo
0,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94556185164262,41.04110217498979]}"
1,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94556185164262,41.041176704809516]}"
2,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94556185164262,41.041251234544866]}"
3,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94556185164262,41.04132576419576]}"
4,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94556185164262,41.04140029376228]}"
5,Built-up,60.0,7006,"{""type"":""Point"",""coordinates"":[-73.94546303696136,41.04072952462525]}"
6,Built-up,60.0,7006,"{""type"":""Point"",""coordinates"":[-73.94546303696136,41.04080405486695]}"
7,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94546303696136,41.040878585024245]}"
8,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94546303696136,41.04095311509715]}"
9,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94546303696136,41.04102764508567]}"
10,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94546303696136,41.04110217498979]}"
11,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94546303696136,41.041176704809516]}"
12,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94546303696136,41.041251234544866]}"
13,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94546303696136,41.04132576419576]}"
14,Built-up,60.0,7006,"{""type"":""Point"",""coordinates"":[-73.94546303696136,41.04140029376228]}"
15,Grassland,60.0,7006,"{""type"":""Point"",""coordinates"":[-73.94536422228009,41.04072952462525]}"
16,Grassland,60.0,7006,"{""type"":""Point"",""coordinates"":[-73.94536422228009,41.04080405486695]}"
17,Built-up,10.0,7006,"{""type"":""Point"",""coordinates"":[-73.94536422228009,41.040878585024245]}"
18,Built-up,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94536422228009,41.041176704809516]}"
19,Trees,50.0,7006,"{""type"":""Point"",""coordinates"":[-73.94536422228009,41.041251234544866]}"
20,Built-up,60.0,7006,"{""type"":""Point"",""coordinates"":[-73.94536422228009,41.04140029376228]}"
21,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.9760573643473,41.03623289368293]}"
22,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.9760573643473,41.03630742901635]}"
23,Grassland,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.9760573643473,41.03645649943002]}"
24,Grassland,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.9760573643473,41.03653103451024]}"
25,Grassland,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.9760573643473,41.03660556950607]}"
26,Built-up,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.9760573643473,41.03668010441754]}"
27,Built-up,30.0,7007,"{""type"":""Point"",""coordinates"":[-73.9760573643473,41.036754639244585]}"
28,Built-up,30.0,7007,"{""type"":""Point"",""coordinates"":[-73.9760573643473,41.03682917398723]}"
29,Built-up,30.0,7007,"{""type"":""Point"",""coordinates"":[-73.9760573643473,41.0369037086455]}"
30,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.97595854966603,41.036232893682914]}"
31,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.97595854966603,41.03630742901635]}"
32,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.97595854966603,41.036381964265395]}"
33,Grassland,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.97595854966603,41.03653103451024]}"
34,Grassland,30.0,7007,"{""type"":""Point"",""coordinates"":[-73.97595854966603,41.03682917398722]}"
35,Built-up,30.0,7007,"{""type"":""Point"",""coordinates"":[-73.97595854966603,41.0369037086455]}"
36,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.97585973498477,41.03623289368293]}"
37,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.97585973498477,41.03630742901635]}"
38,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.97585973498477,41.036381964265395]}"
39,Grassland,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.97585973498477,41.03660556950607]}"
40,Built-up,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.97585973498477,41.03668010441754]}"
41,Trees,30.0,7007,"{""type"":""Point"",""coordinates"":[-73.97585973498477,41.03682917398723]}"
42,Grassland,30.0,7007,"{""type"":""Point"",""coordinates"":[-73.97585973498477,41.0369037086455]}"
43,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.9757609203035,41.036232893682914]}"
44,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.9757609203035,41.03630742901635]}"
45,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.9757609203035,41.03645649943002]}"
46,Trees,10.0,7007,"{""type"":""Point"",""coordinates"":[-73.9757609203035,41.03653103451024]}"
