system:index,classification,median,plotid,.geo
0,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55968858138442,37.66090813866085]}"
1,Cropland,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55968858138442,37.6611428154261]}"
2,Cropland,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55958976670316,37.66043878290471]}"
3,Built-up,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55958976670316,37.660595235153146]}"
4,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55958976670316,37.660673461153706]}"
5,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55958976670316,37.66075168707184]}"
6,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55958976670316,37.66082991290756]}"
7,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55958976670316,37.66090813866085]}"
8,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55958976670316,37.660986364331706]}"
9,Built-up,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55958976670316,37.66106458992013]}"
10,Built-up,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55958976670316,37.6611428154261]}"
11,Trees,30.0,6216,"{""type"":""Point"",""coordinates"":[-77.55949095202189,37.660438782904706]}"
12,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55949095202189,37.66051700907013]}"
13,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55949095202189,37.660595235153146]}"
14,Built-up,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55949095202189,37.660673461153706]}"
15,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55949095202189,37.66075168707184]}"
16,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55949095202189,37.66082991290756]}"
17,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55949095202189,37.66090813866085]}"
18,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55949095202189,37.660986364331706]}"
19,Cropland,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55949095202189,37.66106458992013]}"
20,Cropland,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55949095202189,37.661142815426096]}"
21,Built-up,30.0,6216,"{""type"":""Point"",""coordinates"":[-77.55939213734062,37.660438782904706]}"
22,Built-up,30.0,6216,"{""type"":""Point"",""coordinates"":[-77.55939213734062,37.66051700907012]}"
23,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55939213734062,37.66059523515314]}"
24,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55939213734062,37.660673461153706]}"
25,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55939213734062,37.66075168707184]}"
26,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55939213734062,37.66082991290756]}"
27,Built-up,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55939213734062,37.6609863643317]}"
28,Built-up,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55939213734062,37.66106458992012]}"
29,Cropland,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55939213734062,37.6611428154261]}"
30,Cropland,50.0,6216,"{""type"":""Point"",""coordinates"":[-77.55929332265936,37.660438782904706]}"
31,Built-up,50.0,6216,"{""type"":""Point"",""coordinates"":[-77.55929332265936,37.66051700907012]}"
32,Built-up,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55929332265936,37.66059523515314]}"
33,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55929332265936,37.660673461153706]}"
34,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55929332265936,37.66075168707184]}"
35,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55929332265936,37.66082991290756]}"
36,Trees,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55929332265936,37.66090813866085]}"
37,Built-up,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55929332265936,37.6609863643317]}"
38,Cropland,10.0,6216,"{""type"":""Point"",""coordinates"":[-77.55929332265936,37.6611428154261]}"
