system:index,classification,median,plotid,.geo
0,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14281353258853,30.062886848883835]}"
1,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14281353258853,30.06297237059122]}"
2,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14281353258853,30.063057892224727]}"
3,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14281353258853,30.063143413784328]}"
4,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14281353258853,30.063228935270047]}"
5,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14281353258853,30.06331445668189]}"
6,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14281353258853,30.063399978019838]}"
7,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14281353258853,30.063485499283903]}"
8,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14281353258853,30.063571020474058]}"
9,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14281353258853,30.063656541590326]}"
10,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14271471790728,30.062886848883835]}"
11,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14271471790728,30.062972370591226]}"
12,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14271471790728,30.063057892224727]}"
13,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14271471790728,30.063143413784328]}"
14,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14271471790728,30.063228935270047]}"
15,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14271471790728,30.06331445668189]}"
16,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14271471790728,30.063399978019845]}"
17,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14271471790728,30.063485499283903]}"
18,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14271471790728,30.063571020474058]}"
19,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14271471790728,30.063656541590333]}"
20,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14261590322602,30.062886848883835]}"
21,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.142615903226,30.06297237059122]}"
22,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.142615903226,30.063057892224727]}"
23,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14261590322602,30.063143413784328]}"
24,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.142615903226,30.06322893527005]}"
25,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.142615903226,30.063314456681898]}"
26,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.142615903226,30.063399978019838]}"
27,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.142615903226,30.063485499283903]}"
28,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.142615903226,30.06357102047405]}"
29,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.142615903226,30.063656541590326]}"
30,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14251708854474,30.062886848883835]}"
31,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14251708854474,30.062972370591226]}"
32,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14251708854474,30.063057892224727]}"
33,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14251708854474,30.063143413784324]}"
34,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14251708854474,30.06322893527004]}"
35,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14251708854474,30.06331445668189]}"
36,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14251708854474,30.063399978019838]}"
37,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14251708854474,30.063485499283903]}"
38,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14251708854474,30.06357102047405]}"
39,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14251708854474,30.063656541590333]}"
40,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14241827386348,30.062886848883835]}"
41,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14241827386348,30.06297237059122]}"
42,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14241827386348,30.063057892224727]}"
43,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14241827386348,30.063143413784328]}"
44,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14241827386348,30.06322893527004]}"
45,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14241827386348,30.06331445668189]}"
46,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14241827386348,30.063399978019838]}"
47,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14241827386348,30.063485499283903]}"
48,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14241827386348,30.063571020474058]}"
49,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14241827386348,30.063656541590326]}"
50,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.1423194591822,30.062886848883835]}"
51,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.1423194591822,30.06297237059122]}"
52,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.1423194591822,30.063057892224727]}"
53,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.1423194591822,30.063143413784328]}"
54,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1423194591822,30.06322893527005]}"
55,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1423194591822,30.06331445668189]}"
56,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1423194591822,30.063399978019845]}"
57,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1423194591822,30.063485499283903]}"
58,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1423194591822,30.063571020474058]}"
59,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1423194591822,30.063656541590326]}"
60,Open Water,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14222064450094,30.062886848883828]}"
61,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.14222064450095,30.06297237059122]}"
62,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14222064450094,30.063057892224723]}"
63,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14222064450094,30.063143413784328]}"
64,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14222064450094,30.06322893527004]}"
65,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14222064450094,30.06331445668189]}"
66,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14222064450095,30.063399978019838]}"
67,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14222064450095,30.063485499283903]}"
68,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14222064450095,30.063571020474058]}"
69,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.14222064450094,30.063656541590326]}"
70,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.1421218298197,30.062886848883835]}"
71,Trees,80.0,1823,"{""type"":""Point"",""coordinates"":[-95.1421218298197,30.06297237059122]}"
72,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1421218298197,30.063057892224727]}"
73,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1421218298197,30.063143413784328]}"
74,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1421218298197,30.063228935270047]}"
75,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1421218298197,30.06331445668189]}"
76,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1421218298197,30.063399978019838]}"
77,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1421218298197,30.063485499283903]}"
78,Trees,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1421218298197,30.06357102047405]}"
79,Open Water,10.0,1823,"{""type"":""Point"",""coordinates"":[-95.1421218298197,30.063656541590326]}"
80,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13781549254126,30.062886848883835]}"
81,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13781549254126,30.062972370591226]}"
82,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13781549254128,30.063057892224727]}"
83,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13781549254128,30.063143413784328]}"
84,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13781549254126,30.06322893527005]}"
85,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13781549254126,30.06331445668189]}"
86,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13781549254126,30.063399978019838]}"
87,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13781549254128,30.063485499283903]}"
88,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13781549254126,30.063571020474058]}"
89,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13781549254128,30.063656541590333]}"
90,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13771667786001,30.062886848883835]}"
91,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13771667786,30.06297237059122]}"
92,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13771667786,30.063057892224727]}"
93,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13771667786001,30.063143413784328]}"
94,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13771667786,30.063228935270047]}"
95,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13771667786,30.06331445668189]}"
96,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13771667786001,30.063399978019845]}"
97,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13771667786,30.063485499283903]}"
98,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13771667786,30.063571020474058]}"
99,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13771667786,30.063656541590326]}"
100,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13761786317872,30.062886848883835]}"
101,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13761786317872,30.06297237059122]}"
102,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13761786317872,30.063057892224727]}"
103,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13761786317872,30.063143413784324]}"
104,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13761786317872,30.063228935270047]}"
105,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13761786317872,30.06331445668189]}"
106,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13761786317872,30.063399978019838]}"
107,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13761786317872,30.063485499283903]}"
108,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13761786317872,30.063571020474058]}"
109,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13761786317872,30.063656541590326]}"
110,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13751904849744,30.062886848883835]}"
111,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13751904849744,30.06297237059122]}"
112,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13751904849744,30.063057892224727]}"
113,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13751904849744,30.063143413784324]}"
114,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13751904849744,30.063228935270047]}"
115,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13751904849744,30.06331445668189]}"
116,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13751904849744,30.063399978019838]}"
117,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13751904849744,30.063485499283903]}"
118,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13751904849744,30.06357102047405]}"
119,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13751904849744,30.063656541590333]}"
120,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13742023381621,30.062886848883835]}"
121,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13742023381621,30.062972370591226]}"
122,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13742023381621,30.063057892224727]}"
123,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13742023381621,30.063143413784328]}"
124,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13742023381621,30.06322893527005]}"
125,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13742023381621,30.063314456681898]}"
126,Trees,10.0,1824,"{""type"":""Point"",""coordinates"":[-95.13742023381621,30.063399978019838]}"
