system:index,classification,median,plotid,.geo
0,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10287238197446,40.94212812490981]}"
1,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10287238197446,40.94220276669651]}"
2,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10287238197446,40.94227740839884]}"
3,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.1027735672932,40.94160563004084]}"
4,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.1027735672932,40.94168027241803]}"
5,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.1027735672932,40.94175491471088]}"
6,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.1027735672932,40.9418295569194]}"
7,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.1027735672932,40.941904199043535]}"
8,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.1027735672932,40.94197884108328]}"
9,Trees,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.1027735672932,40.94205348303873]}"
10,Open Water,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.1027735672932,40.9421281249098]}"
11,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.1027735672932,40.94220276669651]}"
12,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.1027735672932,40.94227740839884]}"
13,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10267475261193,40.94160563004084]}"
14,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10267475261193,40.94175491471088]}"
15,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10267475261193,40.9418295569194]}"
16,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10267475261193,40.941904199043535]}"
17,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10267475261193,40.94197884108328]}"
18,Trees,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10267475261193,40.942053483038734]}"
19,Trees,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10267475261193,40.9421281249098]}"
20,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10267475261193,40.94220276669651]}"
21,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10267475261193,40.94227740839884]}"
22,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10257593793065,40.94168027241803]}"
23,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10257593793065,40.94175491471088]}"
24,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10257593793065,40.9418295569194]}"
25,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10257593793065,40.941904199043535]}"
26,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10257593793065,40.94197884108328]}"
27,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10257593793065,40.94205348303873]}"
28,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10257593793065,40.9421281249098]}"
29,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10257593793065,40.94220276669651]}"
30,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10257593793065,40.94227740839884]}"
31,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10247712324939,40.94160563004084]}"
32,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10247712324939,40.94168027241804]}"
33,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10247712324939,40.94175491471088]}"
34,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10247712324939,40.9418295569194]}"
35,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10247712324939,40.941978841083284]}"
36,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10247712324939,40.942053483038734]}"
37,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10247712324939,40.9421281249098]}"
38,Cropland,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10247712324939,40.94220276669651]}"
39,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10247712324939,40.94227740839884]}"
40,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10237830856812,40.94160563004084]}"
41,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10237830856812,40.94175491471088]}"
42,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10237830856812,40.9418295569194]}"
43,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10237830856812,40.941904199043535]}"
44,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10237830856812,40.94197884108328]}"
45,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10237830856812,40.942053483038734]}"
46,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10237830856812,40.94220276669651]}"
47,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10237830856812,40.94227740839884]}"
48,Built-up,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10227949388687,40.94160563004084]}"
49,Built-up,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10227949388687,40.94168027241804]}"
50,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10227949388687,40.941754914710884]}"
51,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10227949388687,40.9418295569194]}"
52,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10227949388687,40.941904199043535]}"
53,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10227949388687,40.94197884108328]}"
54,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10227949388687,40.942053483038734]}"
55,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10227949388687,40.9421281249098]}"
56,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10227949388687,40.942202766696504]}"
57,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10227949388687,40.94227740839884]}"
58,Built-up,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10218067920559,40.94160563004084]}"
59,Cropland,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10218067920559,40.94168027241803]}"
60,Cropland,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10218067920559,40.94175491471088]}"
61,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10218067920559,40.9418295569194]}"
62,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10218067920559,40.941904199043535]}"
63,Built-up,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10218067920559,40.94197884108328]}"
64,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10218067920559,40.9421281249098]}"
65,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10218067920559,40.94227740839884]}"
66,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10208186452432,40.94160563004084]}"
67,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10208186452432,40.94168027241804]}"
68,Built-up,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10208186452432,40.94175491471088]}"
69,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10208186452432,40.9418295569194]}"
70,Built-up,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10208186452432,40.941904199043535]}"
71,Trees,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10208186452432,40.94197884108328]}"
72,Cropland,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10208186452432,40.942053483038734]}"
73,Built-up,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10208186452432,40.94212812490981]}"
74,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10208186452432,40.94220276669651]}"
75,Trees,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10208186452432,40.94227740839884]}"
76,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10198304984306,40.94160563004084]}"
77,Cropland,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10198304984306,40.94168027241803]}"
78,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10198304984306,40.94175491471088]}"
79,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10198304984306,40.941829556919394]}"
80,Built-up,50.0,8302,"{""type"":""Point"",""coordinates"":[-74.10198304984306,40.941904199043535]}"
81,Built-up,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10198304984306,40.941978841083284]}"
82,Cropland,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10198304984306,40.942053483038734]}"
83,Built-up,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10198304984306,40.9421281249098]}"
84,Built-up,30.0,8302,"{""type"":""Point"",""coordinates"":[-74.10198304984306,40.94220276669651]}"
85,Trees,10.0,8302,"{""type"":""Point"",""coordinates"":[-74.10198304984306,40.94227740839884]}"
86,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09692057136863,40.94160563004084]}"
87,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09692057136863,40.94168027241803]}"
88,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09692057136863,40.94175491471088]}"
89,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09692057136863,40.941829556919394]}"
90,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09692057136863,40.941904199043535]}"
91,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09692057136863,40.94197884108328]}"
92,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09692057136863,40.94205348303873]}"
93,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09692057136863,40.9421281249098]}"
94,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09692057136863,40.94220276669651]}"
95,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09692057136863,40.94227740839884]}"
96,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09682175668736,40.94160563004084]}"
97,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09682175668736,40.94168027241804]}"
98,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09682175668736,40.94175491471088]}"
99,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09682175668736,40.9418295569194]}"
100,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09682175668736,40.941904199043535]}"
101,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09682175668736,40.94197884108328]}"
102,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09682175668736,40.942053483038734]}"
103,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09682175668736,40.9421281249098]}"
104,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09682175668736,40.94220276669651]}"
105,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.09682175668736,40.94227740839884]}"
106,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.0967229420061,40.94160563004084]}"
107,Trees,10.0,8303,"{""type"":""Point"",""coordinates"":[-74.0967229420061,40.94168027241803]}"
