system:index,classification,median,plotid,.geo
0,Built-up,50.0,9621,"{""type"":""Point"",""coordinates"":[-95.8098539239343,29.70753713246583]}"
1,Built-up,50.0,9621,"{""type"":""Point"",""coordinates"":[-95.8098539239343,29.707622959534547]}"
2,Built-up,50.0,9621,"{""type"":""Point"",""coordinates"":[-95.8098539239343,29.70770878652986]}"
3,Built-up,50.0,9621,"{""type"":""Point"",""coordinates"":[-95.8098539239343,29.707794613451806]}"
4,Shrubland,50.0,9621,"{""type"":""Point"",""coordinates"":[-95.8098539239343,29.707880440300443]}"
5,Trees,50.0,9621,"{""type"":""Point"",""coordinates"":[-95.8098539239343,29.707966267075687]}"
6,Trees,50.0,9621,"{""type"":""Point"",""coordinates"":[-95.8098539239343,29.70805209377761]}"
7,Trees,50.0,9621,"{""type"":""Point"",""coordinates"":[-95.8098539239343,29.708137920406163]}"
8,Grassland,30.0,9622,"{""type"":""Point"",""coordinates"":[-95.8055660760657,29.707365478108432]}"
9,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8055660760657,29.70745130532383]}"
10,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80556607606572,29.70753713246583]}"
11,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8055660760657,29.707622959534547]}"
12,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8055660760657,29.70770878652986]}"
13,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8055660760657,29.707794613451806]}"
14,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80556607606572,29.707880440300443]}"
15,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80556607606572,29.707966267075687]}"
16,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80556607606572,29.70805209377761]}"
17,Grassland,30.0,9622,"{""type"":""Point"",""coordinates"":[-95.8055660760657,29.708137920406163]}"
18,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80546726138445,29.70736547810844]}"
19,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80546726138445,29.707451305323836]}"
20,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80546726138445,29.70753713246583]}"
21,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80546726138445,29.707622959534547]}"
22,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80546726138445,29.70770878652986]}"
23,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80546726138445,29.707794613451806]}"
24,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80546726138445,29.707966267075687]}"
25,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80546726138445,29.70805209377761]}"
26,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80546726138445,29.708137920406163]}"
27,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80536844670316,29.707365478108432]}"
28,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80536844670316,29.70745130532383]}"
29,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80536844670316,29.70753713246583]}"
30,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80536844670316,29.707622959534547]}"
31,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80536844670316,29.70770878652986]}"
32,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80536844670316,29.707794613451806]}"
33,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80536844670316,29.707880440300443]}"
34,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80536844670316,29.70805209377761]}"
35,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80536844670316,29.708137920406163]}"
36,Grassland,30.0,9622,"{""type"":""Point"",""coordinates"":[-95.8052696320219,29.707365478108432]}"
37,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8052696320219,29.70745130532383]}"
38,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8052696320219,29.70753713246583]}"
39,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8052696320219,29.707622959534547]}"
40,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8052696320219,29.70770878652986]}"
41,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80526963202192,29.707794613451806]}"
42,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8052696320219,29.707880440300443]}"
43,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80526963202192,29.707966267075687]}"
44,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8052696320219,29.70805209377761]}"
45,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8052696320219,29.708137920406163]}"
46,Grassland,10.0,9622,"{""type"":""Point"",""coordinates"":[-95.80517081734064,29.707365478108425]}"
47,Grassland,10.0,9622,"{""type"":""Point"",""coordinates"":[-95.80517081734064,29.70745130532383]}"
48,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80517081734064,29.70753713246583]}"
49,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80517081734064,29.707622959534547]}"
50,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80517081734064,29.707708786529857]}"
51,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80517081734064,29.707794613451803]}"
52,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80517081734064,29.707880440300443]}"
53,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80517081734064,29.707966267075687]}"
54,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80517081734064,29.70805209377761]}"
55,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80517081734064,29.708137920406163]}"
56,Built-up,30.0,9622,"{""type"":""Point"",""coordinates"":[-95.80507200265936,29.707365478108432]}"
57,Grassland,10.0,9622,"{""type"":""Point"",""coordinates"":[-95.80507200265936,29.707451305323836]}"
58,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80507200265936,29.70753713246583]}"
59,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80507200265936,29.707622959534547]}"
60,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80507200265936,29.70770878652986]}"
61,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80507200265936,29.707794613451806]}"
62,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80507200265936,29.707880440300443]}"
63,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80507200265936,29.707966267075687]}"
64,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80507200265936,29.70805209377761]}"
65,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.80507200265936,29.708137920406163]}"
66,Built-up,30.0,9622,"{""type"":""Point"",""coordinates"":[-95.8049731879781,29.70736547810844]}"
67,Grassland,30.0,9622,"{""type"":""Point"",""coordinates"":[-95.8049731879781,29.707451305323822]}"
68,Grassland,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8049731879781,29.70753713246583]}"
69,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8049731879781,29.707622959534547]}"
70,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8049731879781,29.70770878652986]}"
71,Built-up,50.0,9622,"{""type"":""Point"",""coordinates"":[-95.8049731879781,29.707794613451806]}"
