system:index,classification,median,plotid,.geo
0,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07985222542644,38.93508022440438]}"
1,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07985222542644,38.93515708820496]}"
2,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07985222542644,38.935233951922186]}"
3,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07985222542644,38.93531081555614]}"
4,Barren / Sparse Vegetation,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07985222542644,38.93538767910678]}"
5,Barren / Sparse Vegetation,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07985222542644,38.93546454257409]}"
6,Barren / Sparse Vegetation,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07985222542644,38.93554140595814]}"
7,Barren / Sparse Vegetation,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07975341074517,38.934849632502846]}"
8,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07975341074517,38.93492649655335]}"
9,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07975341074517,38.93500336052051]}"
10,Barren / Sparse Vegetation,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07975341074517,38.93508022440437]}"
11,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07975341074517,38.93515708820496]}"
12,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07975341074517,38.93523395192219]}"
13,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07975341074517,38.93531081555614]}"
14,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07975341074517,38.93538767910678]}"
15,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07975341074517,38.9354645425741]}"
16,Trees,10.0,2804,"{""type"":""Point"",""coordinates"":[-77.07975341074517,38.93554140595814]}"
17,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07486289649832,38.934849632502846]}"
18,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07486289649832,38.93492649655335]}"
19,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07486289649832,38.93500336052051]}"
20,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07486289649832,38.93515708820496]}"
21,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07486289649832,38.93523395192219]}"
22,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07486289649832,38.93531081555614]}"
23,Grassland,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07486289649832,38.93538767910678]}"
24,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07486289649832,38.9354645425741]}"
25,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07486289649832,38.93554140595814]}"
26,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07476408181705,38.934849632502846]}"
27,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07476408181705,38.93492649655335]}"
28,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07476408181705,38.93500336052051]}"
29,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07476408181705,38.93515708820496]}"
30,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07476408181705,38.93523395192219]}"
31,Grassland,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07476408181705,38.93531081555614]}"
32,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07476408181705,38.93538767910678]}"
33,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07476408181705,38.935464542574096]}"
34,Grassland,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07476408181705,38.93554140595814]}"
35,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07466526713577,38.934849632502846]}"
36,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07466526713577,38.93492649655335]}"
37,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07466526713577,38.93515708820496]}"
38,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07466526713577,38.935233951922186]}"
39,Grassland,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07466526713577,38.93531081555614]}"
40,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07466526713577,38.935387679106775]}"
41,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07466526713577,38.935464542574096]}"
42,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07466526713577,38.93554140595814]}"
43,Grassland,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.0745664524545,38.934849632502846]}"
44,Grassland,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.0745664524545,38.93492649655335]}"
45,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.0745664524545,38.93500336052051]}"
46,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.0745664524545,38.93508022440437]}"
47,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.0745664524545,38.93515708820495]}"
48,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.0745664524545,38.935233951922186]}"
49,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.0745664524545,38.93531081555614]}"
50,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.0745664524545,38.93538767910678]}"
51,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.0745664524545,38.9354645425741]}"
52,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.0745664524545,38.93554140595814]}"
53,Grassland,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07446763777324,38.934849632502846]}"
54,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07446763777324,38.93492649655335]}"
55,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07446763777324,38.93500336052051]}"
56,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07446763777324,38.93508022440438]}"
57,Grassland,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07446763777324,38.93515708820496]}"
58,Grassland,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07446763777324,38.935233951922186]}"
59,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07446763777324,38.93538767910678]}"
60,Trees,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07446763777324,38.9354645425741]}"
61,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07446763777324,38.93554140595815]}"
62,Grassland,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07436882309197,38.93484963250284]}"
63,Grassland,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07436882309197,38.93492649655335]}"
64,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07436882309197,38.93500336052051]}"
65,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07436882309197,38.93508022440437]}"
66,Grassland,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07436882309197,38.93515708820496]}"
67,Grassland,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07436882309197,38.935233951922186]}"
68,Built-up,50.0,2805,"{""type"":""Point"",""coordinates"":[-77.07436882309197,38.93531081555614]}"
69,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07436882309197,38.93538767910678]}"
70,Trees,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07436882309197,38.9354645425741]}"
71,Trees,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.07436882309197,38.93554140595814]}"
72,Grassland,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.0742700084107,38.93484963250284]}"
73,Built-up,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.0742700084107,38.934926496553345]}"
74,Grassland,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.0742700084107,38.93500336052051]}"
75,Grassland,10.0,2805,"{""type"":""Point"",""coordinates"":[-77.0742700084107,38.93508022440437]}"
