system:index,classification,median,plotid,.geo
0,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04959227721943,43.330999663086686]}"
1,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04959227721943,43.33107154100082]}"
2,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04959227721943,43.331143418829896]}"
3,Shrubland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04959227721943,43.33121529657387]}"
4,Shrubland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04959227721943,43.33128717423279]}"
5,Shrubland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04959227721943,43.331359051806665]}"
6,Built-up,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04959227721943,43.33143092929547]}"
7,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04949346253817,43.33078402883393]}"
8,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04949346253817,43.33085590700327]}"
9,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04949346253817,43.33092778508751]}"
10,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04949346253817,43.330999663086686]}"
11,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04949346253817,43.33107154100082]}"
12,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04949346253817,43.331143418829896]}"
13,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04949346253817,43.33121529657387]}"
14,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04949346253817,43.33128717423279]}"
15,Grassland,50.0,2931,"{""type"":""Point"",""coordinates"":[-76.04949346253817,43.331359051806665]}"
16,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04949346253817,43.33143092929546]}"
17,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.0493946478569,43.33078402883393]}"
18,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.0493946478569,43.33085590700327]}"
19,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.0493946478569,43.33092778508751]}"
20,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.0493946478569,43.330999663086686]}"
21,Built-up,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.0493946478569,43.33107154100082]}"
22,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.0493946478569,43.331143418829896]}"
23,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.0493946478569,43.33121529657387]}"
24,Built-up,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.0493946478569,43.33128717423279]}"
25,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.0493946478569,43.33135905180665]}"
26,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.0493946478569,43.33143092929547]}"
27,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04929583317563,43.33078402883393]}"
28,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04929583317563,43.33085590700327]}"
29,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04929583317563,43.33092778508751]}"
30,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04929583317563,43.330999663086686]}"
31,Built-up,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04929583317563,43.33107154100082]}"
32,Built-up,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04929583317563,43.331143418829896]}"
33,Built-up,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04929583317563,43.33121529657387]}"
34,Built-up,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04929583317563,43.33128717423279]}"
35,Built-up,60.0,2931,"{""type"":""Point"",""coordinates"":[-76.04929583317563,43.33135905180665]}"
36,Built-up,60.0,2931,"{""type"":""Point"",""coordinates"":[-76.04929583317563,43.33143092929547]}"
37,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04919701849437,43.33078402883393]}"
38,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04919701849437,43.33085590700327]}"
39,Open Water,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04919701849437,43.33092778508751]}"
40,Open Water,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04919701849437,43.330999663086686]}"
41,Built-up,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04919701849437,43.33107154100082]}"
42,Built-up,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04919701849437,43.331143418829896]}"
43,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04919701849437,43.33121529657387]}"
44,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04919701849437,43.33128717423279]}"
45,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04919701849437,43.331359051806665]}"
46,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04919701849437,43.33143092929547]}"
47,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04909820381312,43.33078402883393]}"
48,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04909820381312,43.33085590700327]}"
49,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04909820381312,43.33092778508751]}"
50,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04909820381312,43.33099966308668]}"
51,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04909820381312,43.33107154100082]}"
52,Built-up,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04909820381312,43.331143418829896]}"
53,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04909820381312,43.33121529657387]}"
54,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04909820381312,43.331287174232784]}"
55,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04909820381312,43.33135905180665]}"
56,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04909820381312,43.33143092929547]}"
57,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04899938913184,43.33078402883393]}"
58,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04899938913184,43.33085590700327]}"
59,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04899938913184,43.33092778508751]}"
60,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04899938913184,43.330999663086686]}"
61,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04899938913184,43.33107154100082]}"
62,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04899938913184,43.331143418829896]}"
63,Shrubland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04899938913184,43.33121529657387]}"
64,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04899938913184,43.33128717423279]}"
65,Grassland,30.0,2931,"{""type"":""Point"",""coordinates"":[-76.04899938913184,43.33135905180665]}"
66,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04899938913184,43.33143092929547]}"
67,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04890057445057,43.33078402883393]}"
68,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04890057445057,43.33085590700327]}"
69,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04890057445057,43.33092778508751]}"
70,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04890057445057,43.330999663086686]}"
71,Grassland,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04890057445057,43.33107154100082]}"
72,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04890057445057,43.331143418829896]}"
73,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04890057445057,43.33121529657387]}"
74,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04890057445057,43.33128717423279]}"
75,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04890057445057,43.331359051806665]}"
76,Trees,10.0,2931,"{""type"":""Point"",""coordinates"":[-76.04890057445057,43.33143092929547]}"
77,Trees,10.0,2932,"{""type"":""Point"",""coordinates"":[-76.04360701037545,43.33078402883393]}"
78,Trees,10.0,2932,"{""type"":""Point"",""coordinates"":[-76.04360701037545,43.33085590700327]}"
79,Trees,10.0,2932,"{""type"":""Point"",""coordinates"":[-76.04360701037545,43.33092778508751]}"
