system:index,classification,median,plotid,.geo
0,Barren / Sparse Vegetation,10.0,3828,"{""type"":""Point"",""coordinates"":[-97.75774426827508,30.55671872592293]}"
1,Barren / Sparse Vegetation,10.0,3828,"{""type"":""Point"",""coordinates"":[-97.75774426827508,30.55680381780792]}"
2,Barren / Sparse Vegetation,10.0,3828,"{""type"":""Point"",""coordinates"":[-97.75774426827508,30.556888909618262]}"
3,Barren / Sparse Vegetation,10.0,3828,"{""type"":""Point"",""coordinates"":[-97.75774426827506,30.556974001354032]}"
4,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.753411469088,30.556208173046386]}"
5,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.753411469088,30.556293265378994]}"
6,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.753411469088,30.556378357636998]}"
7,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.753411469088,30.556463449820402]}"
8,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.753411469088,30.556548541929182]}"
9,Open Water,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.753411469088,30.556633633963376]}"
10,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.753411469088,30.55671872592293]}"
11,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.753411469088,30.55680381780792]}"
12,Trees,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.753411469088,30.556888909618262]}"
13,Shrubland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.753411469088,30.556974001354032]}"
14,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75331265440674,30.556208173046386]}"
15,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75331265440674,30.556293265378994]}"
16,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75331265440674,30.556378357636998]}"
17,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75331265440674,30.556463449820402]}"
18,Grassland,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75331265440674,30.556548541929182]}"
19,Open Water,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75331265440674,30.556633633963376]}"
20,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75331265440674,30.55671872592293]}"
21,Trees,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75331265440674,30.55680381780792]}"
22,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75331265440674,30.556888909618262]}"
23,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75331265440674,30.556974001354032]}"
24,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75321383972548,30.556208173046386]}"
25,Grassland,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75321383972548,30.556293265379]}"
26,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75321383972548,30.556378357636998]}"
27,Open Water,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75321383972548,30.556463449820402]}"
28,Open Water,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75321383972548,30.556548541929182]}"
29,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75321383972548,30.556633633963376]}"
30,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75321383972548,30.55680381780792]}"
31,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75321383972548,30.556888909618262]}"
32,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75321383972548,30.556974001354032]}"
33,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.7531150250442,30.556208173046386]}"
34,Open Water,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.7531150250442,30.556293265379]}"
35,Open Water,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.7531150250442,30.556378357636998]}"
36,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.7531150250442,30.556463449820395]}"
37,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.7531150250442,30.556548541929182]}"
38,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.7531150250442,30.556633633963376]}"
39,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.7531150250442,30.55671872592293]}"
40,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.7531150250442,30.55680381780792]}"
41,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.7531150250442,30.556888909618262]}"
42,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.7531150250442,30.556974001354032]}"
43,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75301621036294,30.556208173046386]}"
44,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75301621036294,30.556293265378994]}"
45,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75301621036294,30.556378357636994]}"
46,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75301621036294,30.556463449820402]}"
47,Grassland,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75301621036294,30.556548541929182]}"
48,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75301621036294,30.556633633963376]}"
49,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75301621036294,30.55671872592293]}"
50,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75301621036294,30.55680381780792]}"
51,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75301621036294,30.556888909618262]}"
52,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75301621036294,30.556974001354032]}"
53,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75291739568168,30.556208173046386]}"
54,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75291739568168,30.556293265379]}"
55,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75291739568168,30.556378357636998]}"
56,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75291739568168,30.556463449820402]}"
57,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75291739568168,30.556548541929182]}"
58,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75291739568168,30.556633633963376]}"
59,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75291739568168,30.55671872592293]}"
60,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75291739568168,30.55680381780792]}"
61,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75291739568168,30.556888909618262]}"
62,Barren / Sparse Vegetation,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75291739568168,30.556974001354032]}"
63,Grassland,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.7528185810004,30.556208173046386]}"
64,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75281858100041,30.556293265379]}"
65,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75281858100041,30.556378357636998]}"
66,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75281858100041,30.556463449820402]}"
67,Barren / Sparse Vegetation,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75281858100041,30.556548541929182]}"
68,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75281858100041,30.556633633963376]}"
69,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.7528185810004,30.55671872592293]}"
70,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75281858100041,30.55680381780792]}"
71,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.7528185810004,30.556888909618262]}"
72,Barren / Sparse Vegetation,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.7528185810004,30.556974001354032]}"
73,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75271976631916,30.556208173046386]}"
74,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75271976631916,30.556293265378994]}"
75,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75271976631916,30.556378357636998]}"
76,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75271976631916,30.556463449820402]}"
77,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75271976631916,30.556548541929182]}"
78,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75271976631916,30.556633633963376]}"
79,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75271976631916,30.55671872592293]}"
80,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75271976631916,30.55680381780792]}"
81,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75271976631916,30.556888909618262]}"
82,Barren / Sparse Vegetation,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75271976631916,30.556974001354032]}"
83,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75262095163788,30.556208173046393]}"
84,Grassland,30.0,3829,"{""type"":""Point"",""coordinates"":[-97.75262095163788,30.556293265379]}"
85,Grassland,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75262095163788,30.556378357636998]}"
86,Trees,10.0,3829,"{""type"":""Point"",""coordinates"":[-97.75262095163788,30.556463449820402]}"
