system:index,classification,median,plotid,.geo
0,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.0676598832008,18.43392793824961]}"
1,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06756106851954,18.433084236626346]}"
2,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06756106851954,18.433177981455646]}"
3,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06756106851954,18.43327172623381]}"
4,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06756106851954,18.433365470960865]}"
5,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06756106851954,18.43345921563682]}"
6,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06756106851954,18.433552960261608]}"
7,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06756106851954,18.433646704835297]}"
8,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06756106851954,18.433740449357856]}"
9,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06756106851954,18.433834193829316]}"
10,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06756106851954,18.43392793824961]}"
11,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06746225383827,18.433084236626346]}"
12,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06746225383827,18.433177981455646]}"
13,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06746225383827,18.43327172623381]}"
14,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06746225383827,18.433365470960865]}"
15,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06746225383827,18.43345921563682]}"
16,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06746225383827,18.433552960261608]}"
17,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06746225383827,18.433646704835294]}"
18,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06746225383827,18.433740449357856]}"
19,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06746225383827,18.433834193829316]}"
20,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06746225383827,18.43392793824961]}"
21,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.067363439157,18.433084236626346]}"
22,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.067363439157,18.433177981455646]}"
23,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.067363439157,18.43327172623381]}"
24,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.067363439157,18.433365470960865]}"
25,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.067363439157,18.43345921563682]}"
26,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.067363439157,18.433552960261608]}"
27,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.067363439157,18.433646704835294]}"
28,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.067363439157,18.433740449357856]}"
29,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.067363439157,18.433834193829316]}"
30,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.067363439157,18.43392793824961]}"
31,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06726462447574,18.433084236626346]}"
32,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06726462447574,18.433177981455646]}"
33,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06726462447574,18.43327172623381]}"
34,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06726462447574,18.433365470960865]}"
35,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06726462447574,18.43345921563682]}"
36,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06726462447574,18.433552960261608]}"
37,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06726462447574,18.433646704835297]}"
38,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06726462447574,18.433740449357856]}"
39,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06726462447574,18.43383419382932]}"
40,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06726462447574,18.43392793824961]}"
41,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06716580979447,18.433084236626346]}"
42,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06716580979447,18.433177981455646]}"
43,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06716580979447,18.433271726233812]}"
44,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06716580979447,18.433365470960865]}"
45,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06716580979447,18.43345921563682]}"
46,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06716580979447,18.433552960261608]}"
47,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06716580979447,18.433646704835297]}"
48,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06716580979447,18.433740449357856]}"
49,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06716580979447,18.433834193829316]}"
50,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06716580979447,18.43392793824961]}"
51,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06706699511321,18.433084236626346]}"
52,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06706699511321,18.433177981455643]}"
53,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06706699511321,18.43327172623381]}"
54,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06706699511321,18.433365470960865]}"
55,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06706699511321,18.43345921563682]}"
56,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06706699511321,18.433552960261608]}"
57,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06706699511321,18.433646704835294]}"
58,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06706699511321,18.433740449357856]}"
59,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06706699511321,18.433834193829316]}"
60,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06706699511321,18.43392793824961]}"
61,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06696818043194,18.433084236626346]}"
62,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06696818043194,18.433177981455646]}"
63,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06696818043194,18.43327172623381]}"
64,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06696818043194,18.433365470960865]}"
65,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06696818043194,18.43345921563682]}"
66,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06696818043194,18.433552960261608]}"
67,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06696818043194,18.433646704835297]}"
68,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06696818043194,18.43374044935786]}"
69,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06696818043194,18.433834193829316]}"
70,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06696818043194,18.43392793824961]}"
71,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06686936575068,18.433084236626346]}"
72,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06686936575068,18.433177981455646]}"
73,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06686936575068,18.43327172623381]}"
74,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06686936575068,18.433365470960865]}"
75,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06686936575068,18.433459215636816]}"
76,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06686936575068,18.433552960261608]}"
77,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06686936575068,18.433646704835297]}"
78,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06686936575068,18.433740449357852]}"
79,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06686936575068,18.433834193829316]}"
80,Trees,95.0,6330,"{""type"":""Point"",""coordinates"":[-66.06686936575068,18.43392793824961]}"
81,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09145863424934,18.42858761756341]}"
82,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09145863424934,18.42868136484452]}"
83,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09145863424934,18.428775112074558]}"
84,Built-up,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09145863424934,18.428868859253484]}"
85,Built-up,60.0,6331,"{""type"":""Point"",""coordinates"":[-66.09145863424934,18.42896260638129]}"
86,Grassland,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.09145863424934,18.42905635345797]}"
87,Grassland,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.09145863424934,18.429150100483568]}"
88,Grassland,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.09145863424934,18.42924384745804]}"
89,Built-up,50.0,6331,"{""type"":""Point"",""coordinates"":[-66.09145863424934,18.429337594381398]}"
90,Built-up,50.0,6331,"{""type"":""Point"",""coordinates"":[-66.09145863424934,18.42943134125362]}"
91,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09135981956807,18.42858761756341]}"
92,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09135981956807,18.42868136484452]}"
93,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09135981956807,18.42877511207456]}"
94,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09135981956807,18.428868859253484]}"
95,Built-up,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09135981956807,18.42896260638129]}"
96,Built-up,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09135981956807,18.42905635345797]}"
97,Grassland,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.09135981956807,18.429150100483568]}"
98,Grassland,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.09135981956807,18.42924384745804]}"
99,Grassland,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.09135981956807,18.429337594381394]}"
100,Built-up,50.0,6331,"{""type"":""Point"",""coordinates"":[-66.09135981956807,18.42943134125362]}"
101,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.0912610048868,18.42858761756341]}"
102,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.0912610048868,18.42868136484452]}"
103,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.0912610048868,18.42877511207456]}"
104,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.0912610048868,18.428868859253484]}"
105,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.0912610048868,18.428962606381294]}"
106,Built-up,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.0912610048868,18.42905635345797]}"
107,Built-up,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.0912610048868,18.429150100483568]}"
108,Grassland,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.0912610048868,18.42924384745804]}"
109,Grassland,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.0912610048868,18.429337594381394]}"
110,Grassland,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.0912610048868,18.42943134125362]}"
111,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09116219020554,18.42858761756341]}"
112,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09116219020554,18.42868136484452]}"
113,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09116219020554,18.42877511207456]}"
114,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09116219020554,18.428868859253484]}"
115,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09116219020554,18.42896260638129]}"
116,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09116219020554,18.42905635345797]}"
117,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09116219020554,18.429150100483568]}"
118,Built-up,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09116219020554,18.42924384745804]}"
119,Built-up,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.09116219020554,18.429337594381394]}"
120,Grassland,30.0,6331,"{""type"":""Point"",""coordinates"":[-66.09116219020554,18.429431341253615]}"
121,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09106337552427,18.42858761756341]}"
122,Trees,10.0,6331,"{""type"":""Point"",""coordinates"":[-66.09106337552427,18.42868136484452]}"
