system:index,classification,median,plotid,.geo
0,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50715872400444,34.16803908348969]}"
1,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50715872400444,34.168120842123614]}"
2,Grassland,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50715872400444,34.16820260067836]}"
3,Trees,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50715872400444,34.1682843591539]}"
4,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50715872400444,34.16836611755026]}"
5,Trees,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50715872400444,34.168447875867415]}"
6,Trees,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50715872400444,34.16852963410537]}"
7,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50715872400444,34.168611392264154]}"
8,Grassland,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50705990932319,34.16787556598425]}"
9,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50705990932319,34.167957324776566]}"
10,Trees,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50705990932319,34.16803908348969]}"
11,Trees,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50705990932319,34.168120842123614]}"
12,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50705990932319,34.16820260067836]}"
13,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50705990932319,34.1682843591539]}"
14,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50705990932316,34.16836611755026]}"
15,Grassland,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50705990932316,34.168447875867415]}"
16,Grassland,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50705990932319,34.16852963410537]}"
17,Trees,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50705990932319,34.16861139226416]}"
18,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50696109464191,34.16787556598425]}"
19,Trees,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50696109464194,34.167957324776566]}"
20,Trees,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50696109464191,34.168039083489695]}"
21,Trees,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50696109464194,34.168120842123614]}"
22,Trees,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50696109464191,34.16820260067836]}"
23,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50696109464191,34.1682843591539]}"
24,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50696109464191,34.16836611755026]}"
25,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50696109464191,34.168447875867415]}"
26,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50696109464191,34.16852963410537]}"
27,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50696109464191,34.168611392264154]}"
28,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50686227996063,34.16787556598425]}"
29,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50686227996063,34.167957324776566]}"
30,Trees,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50686227996063,34.16803908348969]}"
31,Trees,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50686227996063,34.168120842123614]}"
32,Grassland,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50686227996063,34.16820260067836]}"
33,Grassland,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50686227996063,34.168284359153894]}"
34,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50686227996063,34.16836611755026]}"
35,Grassland,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50686227996063,34.168447875867415]}"
36,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50686227996063,34.16852963410537]}"
37,Grassland,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50686227996063,34.168611392264154]}"
38,Trees,60.0,8631,"{""type"":""Point"",""coordinates"":[-118.50676346527938,34.167875565984254]}"
39,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50676346527938,34.167957324776566]}"
40,Grassland,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50676346527936,34.16803908348969]}"
41,Built-up,60.0,8631,"{""type"":""Point"",""coordinates"":[-118.50676346527938,34.168120842123614]}"
42,Built-up,60.0,8631,"{""type"":""Point"",""coordinates"":[-118.50676346527936,34.16820260067836]}"
43,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50676346527936,34.1682843591539]}"
44,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50676346527936,34.16836611755026]}"
45,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50676346527938,34.168447875867415]}"
46,Grassland,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50676346527936,34.16852963410537]}"
47,Trees,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50676346527938,34.16861139226416]}"
48,Built-up,10.0,8631,"{""type"":""Point"",""coordinates"":[-118.50666465059811,34.16787556598425]}"
49,Built-up,60.0,8631,"{""type"":""Point"",""coordinates"":[-118.50666465059811,34.16795732477656]}"
50,Built-up,60.0,8631,"{""type"":""Point"",""coordinates"":[-118.50666465059811,34.16803908348969]}"
51,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50666465059811,34.168120842123614]}"
52,Built-up,50.0,8631,"{""type"":""Point"",""coordinates"":[-118.50666465059811,34.16820260067836]}"
