,Latitude,Longitude
0,40.3428,-105.6836
1,40.354041520073984,-105.6983490708965
2,40.354041520073984,-105.69244944253789
3,40.354041520073984,-105.6865498141793
4,40.354041520073984,-105.6806501858207
5,40.354041520073984,-105.67475055746209
6,40.354041520073984,-105.6688509291035
7,40.349544912044394,-105.6983490708965
8,40.349544912044394,-105.69244944253789
9,40.349544912044394,-105.6865498141793
10,40.349544912044394,-105.6806501858207
11,40.349544912044394,-105.67475055746209
12,40.349544912044394,-105.6688509291035
13,40.345048304014796,-105.6983490708965
14,40.345048304014796,-105.69244944253789
15,40.345048304014796,-105.6865498141793
16,40.345048304014796,-105.6806501858207
17,40.345048304014796,-105.67475055746209
18,40.345048304014796,-105.6688509291035
19,40.340551695985205,-105.6983490708965
20,40.340551695985205,-105.69244944253789
21,40.340551695985205,-105.6865498141793
22,40.340551695985205,-105.6806501858207
23,40.340551695985205,-105.67475055746209
24,40.340551695985205,-105.6688509291035
25,40.33605508795561,-105.6983490708965
26,40.33605508795561,-105.69244944253789
27,40.33605508795561,-105.6865498141793
28,40.33605508795561,-105.6806501858207
29,40.33605508795561,-105.67475055746209
30,40.33605508795561,-105.6688509291035
31,40.33155847992602,-105.6983490708965
32,40.33155847992602,-105.69244944253789
33,40.33155847992602,-105.6865498141793
34,40.33155847992602,-105.6806501858207
35,40.33155847992602,-105.67475055746209
36,40.33155847992602,-105.6688509291035
