,Latitude,Longitude
0,34.0522,-118.2437
1,34.06344152007399,-118.2572680667478
2,34.06344152007399,-118.25184084004867
3,34.06344152007399,-118.24641361334956
4,34.06344152007399,-118.24098638665043
5,34.06344152007399,-118.23555915995132
6,34.06344152007399,-118.2301319332522
7,34.058944912044396,-118.2572680667478
8,34.058944912044396,-118.25184084004867
9,34.058944912044396,-118.24641361334956
10,34.058944912044396,-118.24098638665043
11,34.058944912044396,-118.23555915995132
12,34.058944912044396,-118.2301319332522
13,34.0544483040148,-118.2572680667478
14,34.0544483040148,-118.25184084004867
15,34.0544483040148,-118.24641361334956
16,34.0544483040148,-118.24098638665043
17,34.0544483040148,-118.23555915995132
18,34.0544483040148,-118.2301319332522
19,34.04995169598521,-118.2572680667478
20,34.04995169598521,-118.25184084004867
21,34.04995169598521,-118.24641361334956
22,34.04995169598521,-118.24098638665043
23,34.04995169598521,-118.23555915995132
24,34.04995169598521,-118.2301319332522
25,34.04545508795561,-118.2572680667478
26,34.04545508795561,-118.25184084004867
27,34.04545508795561,-118.24641361334956
28,34.04545508795561,-118.24098638665043
29,34.04545508795561,-118.23555915995132
30,34.04545508795561,-118.2301319332522
31,34.04095847992602,-118.2572680667478
32,34.04095847992602,-118.25184084004867
33,34.04095847992602,-118.24641361334956
34,34.04095847992602,-118.24098638665043
35,34.04095847992602,-118.23555915995132
36,34.04095847992602,-118.2301319332522
