,Latitude,Longitude
0,37.8651,-119.5383
1,37.876341520073986,-119.5525395396388
2,37.876341520073986,-119.54684372378328
3,37.876341520073986,-119.54114790792777
4,37.876341520073986,-119.53545209207225
5,37.876341520073986,-119.52975627621673
6,37.876341520073986,-119.52406046036121
7,37.871844912044395,-119.5525395396388
8,37.871844912044395,-119.54684372378328
9,37.871844912044395,-119.54114790792777
10,37.871844912044395,-119.53545209207225
11,37.871844912044395,-119.52975627621673
12,37.871844912044395,-119.52406046036121
13,37.8673483040148,-119.5525395396388
14,37.8673483040148,-119.54684372378328
15,37.8673483040148,-119.54114790792777
16,37.8673483040148,-119.53545209207225
17,37.8673483040148,-119.52975627621673
18,37.8673483040148,-119.52406046036121
19,37.862851695985206,-119.5525395396388
20,37.862851695985206,-119.54684372378328
21,37.862851695985206,-119.54114790792777
22,37.862851695985206,-119.53545209207225
23,37.862851695985206,-119.52975627621673
24,37.862851695985206,-119.52406046036121
25,37.85835508795561,-119.5525395396388
26,37.85835508795561,-119.54684372378328
27,37.85835508795561,-119.54114790792777
28,37.85835508795561,-119.53545209207225
29,37.85835508795561,-119.52975627621673
30,37.85835508795561,-119.52406046036121
31,37.85385847992602,-119.5525395396388
32,37.85385847992602,-119.54684372378328
33,37.85385847992602,-119.54114790792777
34,37.85385847992602,-119.53545209207225
35,37.85385847992602,-119.52975627621673
36,37.85385847992602,-119.52406046036121
