system:index,median,plot_id,.geo
0,30.0,5308,"{""type"":""Point"",""coordinates"":[-80.85129108581552,35.19813560676705]}"
1,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85118103232502,35.19813560676705]}"
2,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85107097883451,35.19813560676705]}"
3,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85096092534401,35.19813560676705]}"
4,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85085087185351,35.19813560676705]}"
5,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85074081836301,35.19813560676705]}"
6,60.0,5308,"{""type"":""Point"",""coordinates"":[-80.8506307648725,35.19813560676705]}"
7,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85052071138202,35.19813560676705]}"
8,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8504106578915,35.19813560676705]}"
9,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.850300604401,35.19813560676705]}"
10,60.0,5308,"{""type"":""Point"",""coordinates"":[-80.85129108581552,35.198045674606476]}"
11,60.0,5308,"{""type"":""Point"",""coordinates"":[-80.85118103232502,35.19804567460647]}"
12,60.0,5308,"{""type"":""Point"",""coordinates"":[-80.85107097883451,35.19804567460647]}"
13,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85096092534401,35.19804567460647]}"
14,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85085087185351,35.198045674606476]}"
15,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85074081836301,35.19804567460647]}"
16,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8506307648725,35.19804567460647]}"
17,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85052071138202,35.19804567460647]}"
18,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8504106578915,35.19804567460647]}"
19,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.850300604401,35.19804567460647]}"
20,60.0,5308,"{""type"":""Point"",""coordinates"":[-80.85129108581552,35.19795574244588]}"
21,60.0,5308,"{""type"":""Point"",""coordinates"":[-80.85118103232502,35.19795574244588]}"
22,60.0,5308,"{""type"":""Point"",""coordinates"":[-80.85107097883451,35.19795574244588]}"
23,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85096092534401,35.19795574244588]}"
24,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85085087185351,35.19795574244588]}"
25,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85074081836301,35.19795574244588]}"
26,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8506307648725,35.19795574244588]}"
27,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85052071138202,35.19795574244588]}"
28,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8504106578915,35.19795574244588]}"
29,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.850300604401,35.19795574244588]}"
30,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85129108581552,35.197865810285286]}"
31,60.0,5308,"{""type"":""Point"",""coordinates"":[-80.85118103232502,35.19786581028529]}"
32,60.0,5308,"{""type"":""Point"",""coordinates"":[-80.85107097883451,35.197865810285286]}"
33,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85096092534401,35.197865810285286]}"
34,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85085087185351,35.197865810285286]}"
35,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85074081836301,35.197865810285286]}"
36,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8506307648725,35.197865810285286]}"
37,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85052071138202,35.197865810285286]}"
38,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8504106578915,35.197865810285286]}"
39,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.850300604401,35.197865810285286]}"
40,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85129108581552,35.197775878124695]}"
41,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85118103232502,35.197775878124695]}"
42,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85107097883451,35.197775878124695]}"
43,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85096092534401,35.197775878124695]}"
44,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85085087185351,35.19777587812469]}"
45,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85074081836301,35.19777587812469]}"
46,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8506307648725,35.197775878124695]}"
47,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85052071138202,35.19777587812469]}"
48,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8504106578915,35.19777587812469]}"
49,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.850300604401,35.197775878124695]}"
50,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85129108581552,35.1976859459641]}"
51,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85118103232502,35.1976859459641]}"
52,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85107097883451,35.1976859459641]}"
53,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85096092534401,35.1976859459641]}"
54,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85085087185351,35.1976859459641]}"
55,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85074081836301,35.1976859459641]}"
56,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8506307648725,35.1976859459641]}"
57,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85052071138202,35.1976859459641]}"
58,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8504106578915,35.1976859459641]}"
59,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.850300604401,35.1976859459641]}"
60,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85129108581552,35.19759601380351]}"
61,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85118103232502,35.19759601380351]}"
62,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85107097883451,35.19759601380351]}"
63,30.0,5308,"{""type"":""Point"",""coordinates"":[-80.85096092534401,35.19759601380351]}"
64,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85085087185351,35.19759601380351]}"
65,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85074081836301,35.19759601380351]}"
66,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8506307648725,35.19759601380351]}"
67,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85052071138202,35.19759601380351]}"
68,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8504106578915,35.19759601380351]}"
69,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.850300604401,35.19759601380351]}"
70,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85129108581552,35.19750608164292]}"
71,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85118103232502,35.19750608164292]}"
72,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85107097883451,35.19750608164292]}"
73,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85096092534401,35.19750608164292]}"
74,30.0,5308,"{""type"":""Point"",""coordinates"":[-80.85085087185351,35.19750608164292]}"
75,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85074081836301,35.19750608164292]}"
76,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8506307648725,35.19750608164292]}"
77,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.85052071138202,35.19750608164292]}"
78,10.0,5308,"{""type"":""Point"",""coordinates"":[-80.8504106578915,35.19750608164292]}"
79,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.850300604401,35.19750608164291]}"
80,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85129108581552,35.19741614948233]}"
81,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85118103232502,35.19741614948233]}"
82,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85107097883451,35.19741614948233]}"
83,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85096092534401,35.19741614948233]}"
84,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85085087185351,35.19741614948233]}"
85,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85074081836301,35.19741614948233]}"
86,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.8506307648725,35.19741614948233]}"
87,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85052071138202,35.19741614948232]}"
88,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.8504106578915,35.19741614948233]}"
89,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.850300604401,35.19741614948233]}"
90,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85129108581552,35.19732621732173]}"
91,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85118103232502,35.19732621732173]}"
92,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85107097883451,35.19732621732173]}"
93,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85096092534401,35.19732621732173]}"
94,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85085087185351,35.19732621732173]}"
95,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85074081836301,35.19732621732173]}"
96,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.8506307648725,35.19732621732173]}"
97,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.85052071138202,35.19732621732173]}"
98,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.8504106578915,35.19732621732173]}"
99,50.0,5308,"{""type"":""Point"",""coordinates"":[-80.850300604401,35.19732621732173]}"
100,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85679330349737,35.19813560676705]}"
101,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85668325000687,35.19813560676705]}"
102,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85657319651636,35.19813560676705]}"
103,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85646314302586,35.19813560676706]}"
104,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85635308953536,35.19813560676705]}"
105,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85624303604486,35.19813560676706]}"
106,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85613298255436,35.19813560676705]}"
107,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85602292906385,35.19813560676705]}"
108,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85591287557335,35.19813560676705]}"
109,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85580282208285,35.19813560676705]}"
110,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85679330349737,35.198045674606476]}"
111,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85668325000687,35.19804567460647]}"
112,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85657319651636,35.19804567460647]}"
113,30.0,5307,"{""type"":""Point"",""coordinates"":[-80.85646314302586,35.19804567460647]}"
