system:index,median,plot_id,.geo
0,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87727446144363,37.70998939070786]}"
1,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87716078460375,37.70998939070786]}"
2,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87704710776386,37.70998939070786]}"
3,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.876933430924,37.70998939070787]}"
4,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.8768197540841,37.70998939070787]}"
5,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87670607724418,37.70998939070786]}"
6,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.87659240040429,37.70998939070786]}"
7,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.8764787235644,37.70998939070786]}"
8,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.87636504672454,37.70998939070786]}"
9,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.8762513698846,37.70998939070786]}"
10,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87727446144363,37.70989945854728]}"
11,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87716078460375,37.70989945854728]}"
12,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87704710776386,37.70989945854728]}"
13,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.87693343092397,37.70989945854728]}"
14,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.8768197540841,37.70989945854728]}"
15,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.87670607724418,37.70989945854728]}"
16,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.87659240040429,37.70989945854728]}"
17,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.8764787235644,37.70989945854728]}"
18,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.87636504672454,37.70989945854728]}"
19,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.87625136988463,37.70989945854728]}"
20,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87727446144363,37.709809526386685]}"
21,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87716078460375,37.709809526386685]}"
22,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87704710776386,37.709809526386685]}"
23,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.876933430924,37.709809526386685]}"
24,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.8768197540841,37.709809526386685]}"
25,10.0,4521,"{""type"":""Point"",""coordinates"":[-121.87670607724418,37.709809526386685]}"
26,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.87659240040432,37.709809526386685]}"
27,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.8764787235644,37.709809526386685]}"
28,50.0,4521,"{""type"":""Point"",""coordinates"":[-121.87636504672454,37.709809526386685]}"
29,60.0,4521,"{""type"":""Point"",""coordinates"":[-121.8762513698846,37.709809526386685]}"
30,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87727446144363,37.7097195942261]}"
31,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87716078460375,37.7097195942261]}"
32,30.0,4521,"{""type"":""Point"",""coordinates"":[-121.87704710776386,37.7097195942261]}"
33,10.0,4521,"{""type"":""Point"",""coordinates"":[-121.876933430924,37.7097195942261]}"
34,10.0,4521,"{""type"":""Point"",""coordinates"":[-121.8768197540841,37.7097195942261]}"
35,10.0,4521,"{""type"":""Point"",""coordinates"":[-121.87670607724418,37.7097195942261]}"
