system:index,median,plot_id,.geo
0,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.57019132868783,37.67018871472267]}"
1,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.57007771284067,37.67018871472266]}"
2,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56996409699353,37.67018871472266]}"
3,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56985048114637,37.67018871472266]}"
4,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56973686529922,37.67018871472266]}"
5,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56962324945208,37.67018871472266]}"
6,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56950963360492,37.67018871472266]}"
7,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56939601775777,37.67018871472266]}"
8,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56928240191064,37.67018871472266]}"
9,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56916878606347,37.67018871472266]}"
10,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.57019132868783,37.67009878256207]}"
11,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.57007771284067,37.67009878256207]}"
12,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56996409699353,37.67009878256207]}"
13,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56985048114637,37.67009878256207]}"
14,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56973686529922,37.67009878256207]}"
15,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56962324945208,37.67009878256207]}"
16,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56950963360492,37.67009878256207]}"
17,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56939601775777,37.67009878256207]}"
18,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56928240191064,37.67009878256207]}"
19,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56916878606347,37.67009878256207]}"
20,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.57019132868783,37.67000885040149]}"
21,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.57007771284067,37.67000885040148]}"
22,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.56996409699353,37.67000885040147]}"
23,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56985048114637,37.67000885040147]}"
24,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56973686529922,37.67000885040147]}"
25,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56962324945208,37.67000885040148]}"
26,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56950963360492,37.67000885040147]}"
27,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56939601775777,37.67000885040148]}"
28,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56928240191064,37.67000885040148]}"
29,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56916878606347,37.67000885040148]}"
30,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.57019132868783,37.669918918240896]}"
31,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.57007771284067,37.669918918240896]}"
32,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.56996409699353,37.669918918240896]}"
33,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56985048114637,37.669918918240896]}"
34,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56973686529922,37.669918918240896]}"
35,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56962324945208,37.669918918240896]}"
36,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56950963360492,37.669918918240896]}"
37,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56939601775777,37.669918918240896]}"
38,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56928240191064,37.669918918240896]}"
39,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56916878606347,37.669918918240896]}"
40,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.57019132868783,37.669828986080304]}"
41,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.57007771284067,37.6698289860803]}"
42,10.0,6202,"{""type"":""Point"",""coordinates"":[-77.56996409699353,37.6698289860803]}"
43,30.0,6202,"{""type"":""Point"",""coordinates"":[-77.56985048114637,37.6698289860803]}"
44,30.0,6202,"{""type"":""Point"",""coordinates"":[-77.56973686529922,37.6698289860803]}"
45,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56962324945208,37.6698289860803]}"
46,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56950963360492,37.6698289860803]}"
47,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56939601775777,37.6698289860803]}"
48,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56928240191064,37.6698289860803]}"
49,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56916878606347,37.6698289860803]}"
50,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.57019132868783,37.669739053919706]}"
51,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.57007771284067,37.669739053919706]}"
52,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56996409699353,37.6697390539197]}"
53,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56985048114637,37.6697390539197]}"
54,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56973686529922,37.6697390539197]}"
55,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56962324945208,37.6697390539197]}"
56,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56950963360492,37.6697390539197]}"
57,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56939601775777,37.6697390539197]}"
58,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56928240191064,37.669739053919706]}"
59,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56916878606347,37.6697390539197]}"
60,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.57019132868783,37.66964912175912]}"
61,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.57007771284067,37.669649121759115]}"
62,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56996409699353,37.669649121759115]}"
63,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56985048114637,37.669649121759115]}"
64,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56973686529922,37.669649121759115]}"
65,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56962324945208,37.669649121759115]}"
66,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56950963360492,37.66964912175911]}"
67,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56939601775777,37.669649121759115]}"
68,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56928240191064,37.66964912175912]}"
69,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56916878606347,37.66964912175911]}"
70,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.57019132868783,37.66955918959852]}"
71,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.57007771284067,37.66955918959852]}"
72,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56996409699353,37.66955918959852]}"
73,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56985048114637,37.66955918959852]}"
74,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56973686529922,37.66955918959852]}"
75,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56962324945208,37.66955918959853]}"
76,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56950963360492,37.66955918959853]}"
77,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56939601775777,37.66955918959852]}"
78,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56928240191064,37.66955918959853]}"
79,50.0,6202,"{""type"":""Point"",""coordinates"":[-77.56916878606347,37.66955918959852]}"
