system:index,median,plot_id,.geo
0,60.0,4514,"{""type"":""Point"",""coordinates"":[-121.8829584448471,37.71448599873746]}"
1,60.0,4514,"{""type"":""Point"",""coordinates"":[-121.8828447611088,37.71448599873746]}"
2,60.0,4514,"{""type"":""Point"",""coordinates"":[-121.8827310773705,37.71448599873746]}"
3,60.0,4514,"{""type"":""Point"",""coordinates"":[-121.8826173936322,37.71448599873746]}"
4,60.0,4514,"{""type"":""Point"",""coordinates"":[-121.88250370989388,37.71448599873746]}"
5,60.0,4514,"{""type"":""Point"",""coordinates"":[-121.88239002615558,37.71448599873746]}"
6,60.0,4514,"{""type"":""Point"",""coordinates"":[-121.88227634241724,37.71448599873745]}"
7,60.0,4514,"{""type"":""Point"",""coordinates"":[-121.88216265867894,37.71448599873746]}"
8,60.0,4514,"{""type"":""Point"",""coordinates"":[-121.88204897494063,37.71448599873746]}"
9,60.0,4514,"{""type"":""Point"",""coordinates"":[-121.88193529120232,37.71448599873746]}"
10,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8829584448471,37.71439606657687]}"
11,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8828447611088,37.71439606657687]}"
12,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8827310773705,37.71439606657687]}"
13,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8826173936322,37.71439606657687]}"
14,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8825037098939,37.71439606657687]}"
15,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88239002615558,37.71439606657687]}"
16,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88227634241724,37.71439606657687]}"
17,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88216265867894,37.71439606657687]}"
18,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88204897494063,37.71439606657687]}"
19,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88193529120232,37.71439606657687]}"
20,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8829584448471,37.714306134416276]}"
21,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8828447611088,37.714306134416276]}"
22,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8827310773705,37.714306134416276]}"
23,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8826173936322,37.714306134416276]}"
24,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8825037098939,37.714306134416276]}"
25,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88239002615558,37.714306134416276]}"
26,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88227634241724,37.714306134416276]}"
27,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88216265867894,37.714306134416276]}"
28,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88204897494063,37.714306134416276]}"
29,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88193529120232,37.714306134416276]}"
30,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8829584448471,37.714216202255685]}"
31,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8828447611088,37.714216202255685]}"
32,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8827310773705,37.714216202255685]}"
33,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8826173936322,37.714216202255685]}"
34,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8825037098939,37.714216202255685]}"
35,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88239002615558,37.714216202255685]}"
36,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88227634241724,37.714216202255685]}"
37,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88216265867894,37.714216202255685]}"
38,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88204897494063,37.71421620225568]}"
39,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88193529120232,37.714216202255685]}"
40,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8829584448471,37.71412627009509]}"
41,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88284476110883,37.71412627009509]}"
42,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8827310773705,37.71412627009509]}"
43,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8826173936322,37.71412627009509]}"
44,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8825037098939,37.71412627009509]}"
45,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88239002615558,37.71412627009509]}"
46,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88227634241724,37.71412627009509]}"
47,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88216265867894,37.71412627009509]}"
48,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88204897494063,37.71412627009509]}"
49,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.88193529120232,37.71412627009509]}"
50,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8829584448471,37.714036337934495]}"
51,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8828447611088,37.7140363379345]}"
52,50.0,4514,"{""type"":""Point"",""coordinates"":[-121.8827310773705,37.714036337934495]}"
