system:index,median,plot_id,.geo
0,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12962567842987,51.11031639070787]}"
1,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12948243521576,51.110316390707865]}"
2,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12933919200167,51.11031639070787]}"
3,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12919594878757,51.110316390707865]}"
4,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12905270557344,51.11031639070788]}"
5,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12890946235935,51.11031639070787]}"
6,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12876621914525,51.11031639070787]}"
7,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12862297593112,51.11031639070787]}"
8,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12847973271703,51.11031639070788]}"
9,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12833648950293,51.11031639070787]}"
10,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12962567842987,51.11022645854728]}"
11,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12948243521576,51.11022645854728]}"
12,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12933919200167,51.11022645854728]}"
13,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12919594878757,51.11022645854728]}"
14,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12905270557344,51.11022645854728]}"
15,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12890946235935,51.11022645854728]}"
16,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12876621914525,51.11022645854728]}"
17,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12862297593112,51.11022645854728]}"
18,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12847973271703,51.11022645854728]}"
19,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12833648950293,51.11022645854728]}"
20,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12962567842987,51.11013652638669]}"
21,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12948243521576,51.11013652638669]}"
22,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12933919200167,51.11013652638668]}"
23,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12919594878757,51.11013652638669]}"
24,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12905270557344,51.11013652638669]}"
25,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12890946235935,51.11013652638669]}"
26,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12876621914525,51.11013652638669]}"
27,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12862297593114,51.11013652638669]}"
28,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12847973271703,51.11013652638669]}"
29,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12833648950293,51.11013652638669]}"
30,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12962567842987,51.11004659422609]}"
31,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12948243521576,51.11004659422609]}"
32,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12933919200167,51.11004659422609]}"
33,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12919594878757,51.11004659422609]}"
34,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12905270557344,51.11004659422609]}"
35,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12890946235935,51.11004659422609]}"
36,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12876621914525,51.11004659422609]}"
37,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12862297593112,51.11004659422609]}"
38,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12847973271703,51.1100465942261]}"
39,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12833648950291,51.11004659422609]}"
40,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12962567842987,51.10995666206551]}"
41,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12948243521576,51.10995666206551]}"
42,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12933919200168,51.10995666206551]}"
43,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12919594878757,51.1099566620655]}"
44,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12905270557344,51.10995666206551]}"
45,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12890946235935,51.10995666206551]}"
46,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12876621914523,51.10995666206551]}"
47,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12862297593112,51.10995666206551]}"
48,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12847973271703,51.10995666206551]}"
49,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12833648950293,51.10995666206551]}"
50,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12962567842987,51.109866729904915]}"
51,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12948243521576,51.109866729904915]}"
52,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12933919200167,51.109866729904915]}"
53,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12919594878757,51.109866729904915]}"
54,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12905270557344,51.109866729904915]}"
55,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12890946235935,51.109866729904915]}"
56,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12876621914523,51.109866729904915]}"
57,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12862297593112,51.109866729904915]}"
58,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12847973271703,51.10986672990492]}"
59,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12833648950293,51.109866729904915]}"
60,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12962567842987,51.109776797744324]}"
61,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12948243521576,51.109776797744324]}"
62,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12933919200167,51.109776797744324]}"
63,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12919594878757,51.109776797744324]}"
64,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12905270557344,51.109776797744324]}"
65,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12890946235935,51.109776797744324]}"
66,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12876621914523,51.109776797744324]}"
67,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12862297593112,51.109776797744324]}"
68,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12847973271703,51.10977679774433]}"
69,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12833648950291,51.109776797744324]}"
70,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12962567842987,51.10968686558373]}"
71,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12948243521576,51.109686865583726]}"
72,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12933919200167,51.10968686558373]}"
73,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12919594878757,51.10968686558373]}"
74,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12905270557344,51.10968686558373]}"
75,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12890946235935,51.10968686558373]}"
76,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12876621914525,51.10968686558374]}"
77,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12862297593112,51.10968686558373]}"
78,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12847973271703,51.10968686558373]}"
79,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12833648950293,51.10968686558373]}"
80,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12962567842987,51.10959693342314]}"
81,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12948243521576,51.109596933423134]}"
82,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12933919200167,51.109596933423134]}"
83,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12919594878757,51.109596933423134]}"
84,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12905270557346,51.10959693342314]}"
85,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12890946235935,51.109596933423134]}"
86,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12876621914525,51.109596933423134]}"
87,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12862297593112,51.109596933423134]}"
88,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12847973271703,51.109596933423134]}"
89,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12833648950291,51.10959693342313]}"
90,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12962567842987,51.10950700126254]}"
91,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12948243521576,51.10950700126254]}"
92,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12933919200167,51.10950700126254]}"
93,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12919594878757,51.109507001262536]}"
94,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12905270557344,51.10950700126254]}"
95,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12890946235935,51.10950700126254]}"
96,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12876621914523,51.10950700126254]}"
97,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12862297593112,51.10950700126254]}"
98,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12847973271703,51.10950700126255]}"
99,30.0,6819,"{""type"":""Point"",""coordinates"":[-114.12833648950293,51.10950700126254]}"
100,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40446794817976,38.90329578472266]}"
101,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40435238555304,38.903295784722665]}"
102,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40423682292632,38.90329578472266]}"
103,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40412126029959,38.903295784722665]}"
104,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40400569767287,38.903295784722665]}"
105,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40389013504615,38.90329578472266]}"
106,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40377457241944,38.90329578472266]}"
107,50.0,9729,"{""type"":""Point"",""coordinates"":[-77.4036590097927,38.90329578472266]}"
108,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40354344716599,38.903295784722665]}"
109,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40342788453927,38.90329578472265]}"
110,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40446794817976,38.90320585256207]}"
111,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40435238555304,38.90320585256207]}"
112,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40423682292632,38.90320585256207]}"
113,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40412126029959,38.90320585256207]}"
114,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40400569767287,38.90320585256207]}"
115,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40389013504615,38.90320585256207]}"
116,50.0,9729,"{""type"":""Point"",""coordinates"":[-77.40377457241944,38.90320585256207]}"
117,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.4036590097927,38.90320585256207]}"
118,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40354344716599,38.90320585256207]}"
119,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40342788453927,38.90320585256207]}"
120,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40446794817976,38.903115920401476]}"
121,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40435238555304,38.903115920401476]}"
122,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40423682292632,38.903115920401476]}"
123,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40412126029959,38.903115920401476]}"
124,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40400569767287,38.903115920401476]}"
125,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40389013504615,38.903115920401476]}"
126,50.0,9729,"{""type"":""Point"",""coordinates"":[-77.40377457241944,38.903115920401476]}"
127,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.4036590097927,38.903115920401476]}"
128,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40354344716599,38.903115920401476]}"
129,50.0,9729,"{""type"":""Point"",""coordinates"":[-77.40342788453927,38.903115920401476]}"
130,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40446794817976,38.90302598824088]}"
131,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40435238555304,38.903025988240884]}"
132,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40423682292632,38.903025988240884]}"
133,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40412126029959,38.903025988240884]}"
134,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40400569767287,38.903025988240884]}"
135,10.0,9729,"{""type"":""Point"",""coordinates"":[-77.40389013504615,38.903025988240884]}"
136,50.0,9729,"{""type"":""Point"",""coordinates"":[-77.40377457241944,38.903025988240884]}"
