system:index,median,plot_id,.geo
0,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42758263524118,38.907792394722655]}"
1,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42746706529478,38.90779239472266]}"
2,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42735149534838,38.90779239472266]}"
3,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42723592540197,38.90779239472266]}"
4,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42712035545557,38.90779239472266]}"
5,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42700478550915,38.907792394722655]}"
6,30.0,9719,"{""type"":""Point"",""coordinates"":[-77.42688921556275,38.90779239472266]}"
7,30.0,9719,"{""type"":""Point"",""coordinates"":[-77.42677364561635,38.90779239472266]}"
8,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42665807566995,38.90779239472266]}"
9,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42654250572355,38.90779239472266]}"
10,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42758263524118,38.907702462562064]}"
11,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42746706529478,38.90770246256207]}"
12,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42735149534838,38.90770246256207]}"
13,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42723592540197,38.907702462562064]}"
14,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42712035545557,38.907702462562064]}"
15,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42700478550915,38.90770246256207]}"
16,30.0,9719,"{""type"":""Point"",""coordinates"":[-77.42688921556275,38.90770246256207]}"
17,30.0,9719,"{""type"":""Point"",""coordinates"":[-77.42677364561635,38.90770246256207]}"
18,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42665807566995,38.90770246256207]}"
19,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42654250572355,38.907702462562064]}"
20,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42758263524118,38.90761253040148]}"
21,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42746706529478,38.90761253040148]}"
22,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42735149534838,38.90761253040148]}"
23,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42723592540197,38.90761253040148]}"
24,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42712035545557,38.90761253040148]}"
25,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42700478550915,38.90761253040148]}"
26,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42688921556275,38.90761253040148]}"
27,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42677364561635,38.90761253040148]}"
28,30.0,9719,"{""type"":""Point"",""coordinates"":[-77.42665807566995,38.90761253040148]}"
29,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42654250572355,38.90761253040148]}"
30,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42758263524118,38.90752259824089]}"
31,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42746706529478,38.90752259824088]}"
32,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42735149534838,38.90752259824089]}"
33,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42723592540197,38.90752259824089]}"
34,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42712035545557,38.90752259824089]}"
35,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42700478550915,38.90752259824088]}"
36,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42688921556275,38.90752259824089]}"
37,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42677364561635,38.90752259824089]}"
38,30.0,9719,"{""type"":""Point"",""coordinates"":[-77.42665807566995,38.90752259824089]}"
39,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42654250572355,38.90752259824088]}"
40,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42758263524118,38.9074326660803]}"
41,10.0,9719,"{""type"":""Point"",""coordinates"":[-77.42746706529478,38.9074326660803]}"
