system:index,median,plot_id,.geo
0,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07808475583934,40.93784960676705]}"
1,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07796570747355,40.93784960676705]}"
2,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07784665910775,40.93784960676705]}"
3,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07772761074196,40.93784960676705]}"
4,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07760856237616,40.93784960676705]}"
5,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07748951401037,40.93784960676705]}"
6,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07737046564458,40.93784960676705]}"
7,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07725141727877,40.93784960676705]}"
8,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07713236891298,40.93784960676705]}"
9,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.0770133205472,40.93784960676705]}"
10,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07808475583934,40.93775967460646]}"
11,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07796570747355,40.93775967460646]}"
12,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07784665910775,40.93775967460646]}"
13,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07772761074196,40.93775967460646]}"
14,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07760856237616,40.937759674606475]}"
15,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07748951401037,40.93775967460646]}"
16,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07737046564458,40.93775967460646]}"
17,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07725141727877,40.93775967460646]}"
18,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07713236891298,40.93775967460646]}"
19,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.0770133205472,40.937759674606475]}"
20,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07808475583934,40.93766974244588]}"
21,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07796570747355,40.937669742445884]}"
22,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07784665910775,40.937669742445884]}"
23,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07772761074196,40.93766974244588]}"
24,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07760856237616,40.937669742445884]}"
25,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07748951401037,40.93766974244588]}"
26,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07737046564458,40.93766974244588]}"
27,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07725141727877,40.937669742445884]}"
28,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07713236891298,40.93766974244588]}"
29,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.0770133205472,40.93766974244588]}"
30,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07808475583934,40.937579810285285]}"
31,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07796570747355,40.937579810285285]}"
32,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07784665910775,40.937579810285285]}"
33,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07772761074196,40.937579810285285]}"
34,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07760856237616,40.93757981028529]}"
35,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07748951401037,40.937579810285285]}"
36,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07737046564458,40.937579810285285]}"
37,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07725141727877,40.937579810285285]}"
38,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07713236891298,40.937579810285285]}"
39,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.0770133205472,40.93757981028528]}"
40,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07808475583934,40.937489878124694]}"
41,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07796570747355,40.937489878124694]}"
42,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07784665910775,40.937489878124694]}"
43,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07772761074196,40.937489878124694]}"
44,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07760856237616,40.937489878124694]}"
45,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07748951401037,40.937489878124694]}"
46,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07737046564458,40.937489878124694]}"
47,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07725141727877,40.937489878124694]}"
48,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07713236891298,40.937489878124694]}"
49,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.0770133205472,40.937489878124694]}"
50,30.0,8312,"{""type"":""Point"",""coordinates"":[-74.07808475583934,40.9373999459641]}"
